支付宝交易记录明细查询,,,,,,,,,,,,,,,,
账号:[wanggenguo@outlook.com],,,,,,,,,,,,,,,,
起始日期:[2017-12-08 00:00:00]    终止日期:[2018-01-08 11:03:57],,,,,,,,,,,,,,,,
---------------------------------交易记录明细列表------------------------------------,,,,,,,,,,,,,,,,
交易号                  ,商户订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
,,2017-09-04,2017-09-04,2017-09-04,,,,TRADER JOE'S #081 QPS MOUNTAINVIEW CA,27.11,支出,,,,Supermarkets,,
,,2017-09-04,2017-09-04,2017-09-04,,,,WHOLEFDS LAT 10155 LOS ALTOS CA,64.18,支出,,,,Supermarkets,,
,,2017-09-02,2017-09-02,2017-09-02,,,,0613 FOREVER 21 LIVERMORE CA,51.34,支出,,,,Merchandise,,
,,2017-09-02,2017-09-02,2017-09-02,,,,ABERCROMBIE&FITCH #11286 LIVERMORE CA,78.59,支出,,,,Merchandise,,
,,2017-09-02,2017-09-02,2017-09-02,,,,ECCO SAN FRANCISCO OTL LIVERMORE CA,52.43,支出,,,,Merchandise,,
,,2017-09-02,2017-09-02,2017-09-02,,,,LIVERMORE MAIDENFORM 800-831-7489 CA 0307-7249-002-2,26.22,支出,,,,Merchandise,,
,,2017-09-01,2017-09-01,2017-09-01,,,,WHOLEFDS LAT 10155 LOS ALTOS CA,62.65,支出,,,,Supermarkets,,
,,2017-08-26,2017-08-26,2017-08-26,,,,WAL-MART STORE - #2280 MOUNTAIN VIEWCA,81.95,支出,,,,Merchandise,,
,,2017-08-25,2017-08-25,2017-08-25,,,,PAYPAL *NIKE COM 402-935-7733 CA,22.74,支出,,,,Merchandise,,
,,2017-08-25,2017-08-25,2017-08-25,,,,WALMART.COM 8009666546 800-966-6546 AR,36.63,支出,,,,Merchandise,,
,,2017-08-17,2017-08-17,2017-08-17,,,,INTERNET PAYMENT - THANK YOU,128.57,收入,,,,Payments and Credits,,
,,2017-08-12,2017-08-12,2017-08-12,,,,FAST FIX JEWELRY & WATC SANTA CLARA CA,25.00,支出,,,,Merchandise,,
,,2017-08-12,2017-08-12,2017-08-12,,,,WAL-MART STORE - #2280 MOUNTAIN VIEWCA,61.12,支出,,,,Merchandise,,
,,2017-08-05,2017-08-05,2017-08-05,,,,SAFEWAY STORE 2948 MOUNTAIN VIEWCA,5.35,支出,,,,Supermarkets,,
,,2017-08-05,2017-08-05,2017-08-05,,,,WAL-MART STORE - #2280 MOUNTAIN VIEWCA,1.80,支出,,,,Merchandise,,
,,2017-08-03,2017-08-03,2017-08-03,,,,WALMART.COM 8009666546 800-966-6546 AR,54.57,支出,,,,Merchandise,,
,,2017-08-03,2017-08-03,2017-08-03,,,,WAL-MART STORE - #2280 MOUNTAIN VIEWCA,55.97,支出,,,,Merchandise,,
,,2017-07-29,2017-07-29,2017-07-29,,,,PRECISION EYECARE CTR MOUNTAIN VIEWCA,74.00,支出,,,,Medical Services,,
------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
共85笔记录,,,,,,,,,,,,,,,,
已收入:35笔,2923.48元,,,,,,,,,,,,,,,
待收入:0笔,0.00元,,,,,,,,,,,,,,,
已支出:45笔,15978.41元,,,,,,,,,,,,,,,
待支出:0笔,0.00元,,,,,,,,,,,,,,,
导出时间:[2018-01-08 11:03:57]    用户:王根国,,,,,,,,,,,,,,,,
